Date,Close/Last
09/30/2024,18189.17
09/27/2024,18119.59
09/26/2024,18190.29
09/25/2024,18082.21
09/24/2024,18074.52
09/23/2024,17974.27
09/20/2024,17948.32
09/19/2024,18013.98
09/18/2024,17573.3
09/17/2024,17628.06
09/16/2024,17592.13
09/13/2024,17683.98
09/12/2024,17569.68
09/11/2024,17395.53
09/10/2024,17025.88
09/09/2024,16884.6
09/06/2024,16690.83
09/05/2024,17127.66
09/04/2024,17084.3
09/03/2024,17136.3
08/30/2024,17713.62
08/29/2024,17516.43
08/28/2024,17556.03
08/27/2024,17754.82
08/26/2024,17725.76
08/23/2024,17877.79
08/22/2024,17619.35
08/21/2024,17918.99
08/20/2024,17816.94
08/19/2024,17876.77
08/16/2024,17631.72
08/15/2024,17594.5
08/14/2024,17192.6
08/13/2024,17187.61
08/12/2024,16780.61
08/09/2024,16745.3
08/08/2024,16660.02
08/07/2024,16195.81
08/06/2024,16366.85
08/05/2024,16200.08
08/02/2024,16776.16
08/01/2024,17194.15
07/31/2024,17599.4
07/30/2024,17147.42
07/29/2024,17370.2
07/26/2024,17357.88
07/25/2024,17181.72
07/24/2024,17342.41
07/23/2024,17997.35
07/22/2024,18007.57
07/19/2024,17726.94
07/18/2024,17871.22
07/17/2024,17996.92
07/16/2024,18509.34
07/15/2024,18472.57
07/12/2024,18398.45
07/11/2024,18283.41
07/10/2024,18647.45
07/09/2024,18429.29
07/08/2024,18403.74
07/05/2024,18352.76
07/03/2024,18188.3
07/02/2024,18028.76
07/01/2024,17879.3
06/28/2024,17732.6
06/27/2024,17858.68
06/26/2024,17805.16
06/25/2024,17717.65
06/24/2024,17496.82
06/21/2024,17689.36
06/20/2024,17721.59
06/18/2024,17862.23
06/17/2024,17857.02
06/14/2024,17688.88
06/13/2024,17667.56
06/12/2024,17608.44
06/11/2024,17343.55
06/10/2024,17192.53
06/07/2024,17133.13
06/06/2024,17173.12
06/05/2024,17187.9
06/04/2024,16857.05
06/03/2024,16828.67
05/31/2024,16735.02
05/30/2024,16737.08
05/29/2024,16920.58
05/28/2024,17019.88
05/24/2024,16920.79
05/23/2024,16736.03
05/22/2024,16801.54
05/21/2024,16832.62
05/20/2024,16794.87
05/17/2024,16685.97
05/16/2024,16698.32
05/15/2024,16742.39
05/14/2024,16511.18
05/13/2024,16388.24
05/10/2024,16340.87
05/09/2024,16346.26
05/08/2024,16302.76
05/07/2024,16332.56
05/06/2024,16349.25
05/03/2024,16156.33
05/02/2024,15840.96
05/01/2024,15605.48
04/30/2024,15657.82
04/29/2024,15983.08
04/26/2024,15927.9
04/25/2024,15611.76
04/24/2024,15712.75
04/23/2024,15696.64
04/22/2024,15451.31
04/19/2024,15282.01
04/18/2024,15601.5
04/17/2024,15683.37
04/16/2024,15865.25
04/15/2024,15885.02
04/12/2024,16175.09
04/11/2024,16442.2
04/10/2024,16170.36
04/09/2024,16306.64
04/08/2024,16253.96
04/05/2024,16248.52
04/04/2024,16049.08
04/03/2024,16277.46
04/02/2024,16240.45
04/01/2024,16396.83
03/28/2024,16379.46
03/27/2024,16399.52
03/26/2024,16315.7
03/25/2024,16384.47
03/22/2024,16428.82
03/21/2024,16401.84
03/20/2024,16369.41
03/19/2024,16166.79
03/18/2024,16103.45
03/15/2024,15973.17
03/14/2024,16128.53
03/13/2024,16177.77
03/12/2024,16265.64
03/11/2024,16019.27
03/08/2024,16085.11
03/07/2024,16273.38
03/06/2024,16031.54
03/05/2024,15939.59
03/04/2024,16207.51
03/01/2024,16274.94
02/29/2024,16091.92
02/28/2024,15947.74
02/27/2024,16035.3
02/26/2024,15976.25
02/23/2024,15996.82
02/22/2024,16041.62
02/21/2024,15580.87
02/20/2024,15630.78
02/16/2024,15775.65
02/15/2024,15906.17
02/14/2024,15859.15
02/13/2024,15655.6
02/12/2024,15942.55
02/09/2024,15990.66
02/08/2024,15793.71
02/07/2024,15756.64
02/06/2024,15609
02/05/2024,15597.68
02/02/2024,15628.95
02/01/2024,15361.64
01/31/2024,15164.01
01/30/2024,15509.9
01/29/2024,15628.04
01/26/2024,15455.36
01/25/2024,15510.5
01/24/2024,15481.92
01/23/2024,15425.94
01/22/2024,15360.29
01/19/2024,15310.97
01/18/2024,15055.65
01/17/2024,14855.62
01/16/2024,14944.35
01/12/2024,14972.76
01/11/2024,14970.18
01/10/2024,14969.65
01/09/2024,14857.71
01/08/2024,14843.77
01/05/2024,14524.07
01/04/2024,14510.3
01/03/2024,14592.21
01/02/2024,14765.94
12/29/2023,15011.35
12/28/2023,15095.14
12/27/2023,15099.18
12/26/2023,15074.57
